order_item_id,order_id,product_id,quantity,unit_price
1,1,84,3,431.32
2,2,31,1,682.52
3,2,76,2,571.36
4,3,108,1,596.14
5,4,71,2,326.37
6,4,51,3,521.96
7,4,117,1,723.89
8,4,73,3,757.68
9,5,73,3,757.68
10,6,27,2,470.69
11,6,134,2,14.54
12,7,102,2,378.83
13,7,40,1,496.68
14,7,141,3,664.67
15,7,23,1,701.6
16,8,82,3,558.31
17,8,83,4,57.87
18,8,100,1,110.82
19,8,102,1,378.83
20,8,5,4,534.04
21,9,73,4,757.68
22,9,69,2,678.97
23,9,143,3,488.21
24,9,96,3,385.9
25,9,131,4,318.76
26,10,100,1,110.82
27,11,93,2,-549.02
28,11,119,3,443.26
29,11,14,1,754.03
30,12,43,3,25.96
31,12,126,2,101.97
32,12,123,1,717.17
33,12,144,1,507.04
34,13,95,2,550.05
35,14,68,2,636.26
36,14,117,1,723.89
37,15,6,1,498.94
38,15,145,2,229.11
39,15,123,4,717.17
40,16,72,3,248.19
41,17,145,4,229.11
42,18,140,2,80.4
43,18,42,3,458.23
44,18,96,4,385.9
45,18,142,3,758.12
46,19,92,2,416.84
47,19,120,3,163.71
48,19,116,2,499.37
49,20,108,1,596.14
50,21,126,3,101.97
51,21,30,4,466.19
52,21,84,4,431.32
53,22,130,1,778.31
54,23,7,1,797.36
55,23,5,2,459.8
56,24,77,3,0.0
57,24,88,4,581.3
58,24,100,1,110.82
59,24,96,1,385.9
60,24,54,3,119.66
61,25,7,1,797.36
62,25,98,1,569.99
63,25,10,1,364.78
64,25,125,3,60.95
65,26,33,1,680.29
66,27,150,4,484.06
67,27,31,4,682.52
68,27,133,2,53.99
69,28,46,2,566.86
70,28,97,4,799.31
71,28,12,4,452.49
72,28,78,1,789.72
73,29,140,4,80.4
74,29,28,4,487.27
75,29,108,4,596.14
76,30,147,2,630.5
77,31,144,1,507.04
78,32,136,2,254.21
79,32,3,2,302.94
80,32,78,4,789.72
81,32,36,2,495.03
82,32,82,4,558.31
83,33,43,3,25.96
84,33,64,4,123.33
85,33,106,3,256.39
86,33,93,1,-549.02
87,33,58,3,558.64
88,34,62,3,302.99
89,34,134,1,14.54
90,35,72,3,248.19
91,35,101,3,720.77
92,35,119,4,443.26
93,36,126,3,101.97
94,37,81,2,226.08
95,37,83,3,57.87
96,38,36,3,495.03
97,38,76,4,571.36
98,38,49,2,186.12
99,38,93,3,-549.02
100,38,139,2,322.53
101,39,118,1,361.9
102,39,138,4,126.38
103,39,88,4,436.64
104,39,38,3,272.91
105,39,66,4,484.78
106,40,28,1,487.27
107,40,122,1,444.14
108,40,112,1,306.6
109,40,100,1,110.82
110,40,81,3,226.08
111,41,71,2,326.37
112,41,73,3,757.68
113,41,111,3,781.01
114,42,42,1,458.23
115,43,43,1,25.96
116,43,45,3,157.83
117,43,57,4,268.77
118,43,72,2,248.19
119,43,28,1,487.27
120,44,112,1,306.6
121,44,135,4,457.51
122,44,88,2,581.3
123,44,83,1,57.87
124,45,60,1,602.69
125,45,98,2,569.99
126,45,121,1,643.49
127,46,112,3,306.6
128,47,10,3,364.78
129,47,98,2,569.99
130,48,72,3,248.19
131,48,48,1,107.37
132,48,59,1,402.24
133,48,105,2,462.17
134,49,69,2,678.97
135,50,70,1,318.37
136,50,132,1,660.44
137,51,63,2,82.09
138,51,117,1,723.89
139,51,45,4,157.83
140,51,29,3,474.32
141,52,148,4,777.04
142,52,104,4,556.7
143,52,65,1,748.34
144,53,81,4,226.08
145,54,63,4,82.09
146,54,37,4,253.77
147,54,5,4,459.8
148,54,59,2,402.24
149,55,90,4,503.63
150,56,18,3,315.84
151,56,91,2,289.58
152,56,85,3,446.02
153,56,50,2,370.89
154,57,150,1,484.06
155,57,32,1,176.75
156,57,113,2,149.56
157,57,125,4,60.95
158,57,111,4,781.01
159,58,78,1,789.72
160,59,17,2,658.83
161,60,21,4,658.67
162,61,84,3,431.32
163,61,135,2,457.51
164,61,40,1,496.68
165,62,28,2,487.27
166,62,38,2,272.91
167,62,143,2,488.21
168,63,42,1,458.23
169,63,124,1,127.43
170,64,102,2,378.83
171,64,55,2,472.02
172,64,104,3,556.7
173,64,111,1,781.01
174,65,121,2,643.49
175,66,11,2,117.66
176,67,28,1,487.27
177,67,69,3,678.97
178,67,75,4,421.56
179,67,135,3,457.51
180,68,122,3,444.14
181,68,116,3,499.37
182,69,119,2,443.26
183,69,39,1,467.56
184,70,124,4,127.43
185,70,112,3,306.6
186,71,100,4,110.82
187,71,48,4,107.37
188,71,128,3,383.45
189,72,65,1,748.34
190,72,107,3,22.07
191,73,93,3,-549.02
192,74,71,1,326.37
193,74,136,3,254.21
194,74,101,4,720.77
195,74,51,3,559.26
196,74,112,1,306.6
197,75,68,3,636.26
198,75,77,1,0.0
199,75,10,1,364.78
200,75,59,4,402.24
201,76,79,3,499.3
202,76,14,2,754.03
203,76,128,4,383.45
204,76,149,3,254.2
205,76,55,2,445.4
206,77,107,2,22.07
207,77,42,3,458.23
208,77,110,3,335.07
209,78,46,3,566.86
210,78,30,4,466.19
211,78,116,4,499.37
212,79,23,1,701.6
213,80,111,2,781.01
214,80,27,4,470.69
215,80,132,1,660.44
216,80,104,2,556.7
217,81,116,2,441.61
218,82,25,1,50.04
219,82,134,4,14.54
220,83,109,3,382.69
221,83,76,2,571.36
222,83,10,4,364.78
223,83,28,3,487.27
224,83,15,4,715.52
225,84,24,1,767.98
226,84,36,1,495.03
227,85,139,3,322.53
228,85,21,3,658.67
229,85,141,4,664.67
230,85,148,1,777.04
231,85,140,4,80.4
232,86,121,3,643.49
233,87,5,4,459.8
234,88,127,2,349.21
235,88,141,2,664.67
236,89,64,3,123.33
237,89,32,4,122.26
238,89,108,2,596.14
239,90,64,1,123.33
240,90,12,2,452.49
241,91,115,2,769.44
242,91,37,1,253.77
243,92,100,2,110.82
244,92,91,2,425.2
245,93,53,3,176.09
246,93,106,3,256.39
247,93,29,1,474.32
248,94,100,2,110.82
249,94,70,2,250.73
250,94,42,4,458.23
251,94,123,2,717.17
252,95,146,1,19.08
253,96,128,1,383.45
254,96,136,1,254.21
255,97,65,3,748.34
256,97,70,4,318.37
257,97,52,2,457.95
258,97,103,3,163.53
259,98,60,1,602.69
260,98,106,4,256.39
261,99,3,3,302.94
262,99,105,4,462.17
263,99,31,1,682.52
264,100,122,3,444.14
265,101,129,2,356.8
266,102,6,2,498.94
267,102,71,2,326.37
268,102,50,2,370.89
269,102,45,3,157.83
270,102,41,4,574.12
271,103,41,4,574.12
