order_id,customer_id,order_date,status,payment_method,shipping_cost,discount_pct
1,1577,2024-03-05 01:52:07,completed,upi,5.42,15
2,300,2024-02-28 17:08:20,completed,cod,4.4,20
3,509,2024-08-07 02:37:41,CANCEL,debit_card,3.17,0
4,303,2024-11-24 21:37:38,completed,paypal,2.37,0
5,646,2024-08-05 14:05:46,shipped,upi,3.92,10
6,1809,2025-03-05 21:52:15,shipped,credit_card,20.39,0
7,732,2024-06-09 07:26:45,completed,upi,11.99,10
8,108,2023-12-17 07:59:24,completed,debit_card,21.0,0
9,754,2025-03-01 22:26:12,completed,cod,0.16,15
10,60,2024-11-23 03:03:48,shipped,upi,4.5,0
11,410,2025-06-04 18:51:24,completed,debit_card,19.51,20
12,371,2024-06-02 17:53:16,cancelled,paypal,0.0,5
13,1940,2024-03-02 00:05:04,completed,cod,21.15,0
14,1520,2024-08-02 03:46:23,completed,credit_card,19.77,0
15,358,2023-01-23 06:47:04,shipped,cod,15.29,0
16,1019,2024-11-02 20:18:12,completed,cod,19.74,15
17,548,2023-02-07 22:10:40,returned,wallet,9.86,0
18,1622,2023-12-26 15:43:26,shipped,credit_card,13.16,5
19,1378,2025-02-07 04:41:39,completed,credit_card,13.25,0
20,1704,2023-09-05 15:54:19,completed,debit_card,18.14,5
21,1065,2023-06-11 06:30:55,completed,debit_card,16.27,15
22,836,2023-06-15 07:52:20,shipped,wallet,19.7,0
23,1424,2024-04-21 05:14:00,completed,cod,14.04,20
24,147,2023-04-15 02:45:20,returned,paypal,14.55,0
25,1764,2024-08-19 03:26:00,shipped,cod,13.65,0
26,71,2024-05-16 13:33:34,shipped,debit_card,13.5,0
27,1029,2023-10-09 12:51:58,shipped,cod,14.38,0
28,874,2023-06-20 08:57:51,returned,upi,10.7,0
29,1517,2025-05-24 05:36:52,completed,upi,0.45,10
30,1798,2024-07-09 13:52:55,completed,debit_card,2.66,0
31,1119,2024-08-02 22:15:41,completed,wallet,4.08,5
32,273,2024-08-29 22:42:56,completed,credit_card,11.54,0
33,1759,2023-04-21 04:02:05,completed,credit_card,10.51,0
34,1776,2023-12-16 02:12:29,completed,cod,19.55,15
35,136,2025-05-22 13:11:49,cancelled,wallet,0.0,0
36,1785,2025-05-20 05:18:37,shipped,cod,3.02,0
37,129,2024-01-26 20:03:52,cancelled,cod,0.0,10
38,687,2025-03-15 04:12:07,completed,wallet,14.5,20
39,691,2023-10-12 09:38:10,processing,upi,10.66,0
40,1682,2024-03-06 10:43:33,completed,upi,13.82,5
41,1522,2024-10-19 12:25:16,cancelled,credit_card,0.0,0
42,1134,2025-06-26 09:34:20,completed,upi,4.47,10
43,1995,2024-02-24 00:13:54,completed,upi,4.86,5
44,308,2024-08-20 06:17:10,shipped,paypal,4.51,15
45,774,2023-09-19 13:43:22,completed,upi,6.03,15
46,797,2025-06-07 00:53:58,completed,wallet,9.8,5
47,1867,2024-02-08 16:14:56,completed,wallet,11.38,10
48,190,2025-05-08 18:46:24,completed,upi,3.28,0
49,867,2023-09-18 20:44:35,processing,wallet,1.7,20
50,1134,2024-07-27 02:43:45,completed,debit_card,17.31,0
51,961,2023-08-31 04:43:26,completed,paypal,12.63,0
52,1388,2024-09-05 15:17:53,shipped,upi,21.17,10
53,753,2024-04-08 14:43:51,cancelled,paypal,0.0,0
54,892,2023-08-17 14:54:05,completed,debit_card,14.28,0
